upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1.18084674076,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.39056038739,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,1,1.23079380383,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,1,1.25040500523,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,1,0.96032921288,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,1,1.09080135388,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,1,0.920461495878,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,0,0.890793720439,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
ZLW,ZLW,,,,,    OLIKA              LIKA  ,8,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,0,0,3,,,,,1,1.33085118291,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
GZK,GZK,,,,,    OLIKA              LIKA  ,8,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,1,1,2,,,,,1,0.900763055184,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
TLJ,TXJ,,,,,    OLIKA              LIKA  ,4,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,2,2,16,,,,,1,0.810700990198,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
RBT,RBT,,,,,    OLIKA              LIKA  ,8,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,3,3,1,,,,,1,0.720684148524,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
CBN,CMN,,,,,    OLIKA              LIKA  ,4,None,M,None,20,None,None,None,,,,,,,,,,,,,,,,,0,4,4,19,,,,,1,0.910818346296,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
ZKJ,ZKV,,,,,    OLIKA              LIKA  ,4,V,None,None,22,None,None,None,,,,,,,,,,,,,,,,,0,5,5,21,,,,,1,2.00091152235,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
WJP,WJZ,,,,,    OLIKA              LIKA  ,4,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,6,6,22,,,,,1,2.22064902829,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
FHP,FHP,,,,,    OLIKA              LIKA  ,8,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,7,7,11,,,,,1,0.840306864226,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
RBN,RBW,,,,,    OLIKA              LIKA  ,4,W,None,None,21,None,None,None,,,,,,,,,,,,,,,,,0,8,8,20,,,,,1,1.32036995876,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,9,9,0,,,,,1,1.46082971627,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
KTS,KTS,,,,,    OLIKA              LIKA  ,8,None,None,None,11,None,None,None,,,,,,,,,,,,,,,,,0,10,10,10,,,,,1,0.650783020796,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
NLX,NLX,,,,,    OLIKA              LIKA  ,8,None,None,None,9,None,None,None,,,,,,,,,,,,,,,,,0,11,11,8,,,,,1,0.910373490029,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
BLG,BSG,,,,,    OLIKA              LIKA  ,4,None,S,None,19,None,None,None,,,,,,,,,,,,,,,,,0,12,12,18,,,,,1,0.850384606627,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
WSV,WSV,,,,,    OLIKA              LIKA  ,8,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,13,13,6,,,,,1,0.860690389982,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
GVN,RVN,,,,,    OLIKA              LIKA  ,4,None,None,R,14,None,None,None,,,,,,,,,,,,,,,,,0,14,14,13,,,,,1,1.00081947207,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
VXL,VXD,,,,,    OLIKA              LIKA  ,4,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,15,15,23,,,,,1,1.01071920782,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
BGQ,BWQ,,,,,    OLIKA              LIKA  ,4,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,16,16,17,,,,,1,1.06040808105,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
NRK,NRK,,,,,    OLIKA              LIKA  ,8,None,None,None,10,None,None,None,,,,,,,,,,,,,,,,,0,17,17,9,,,,,1,0.700638995773,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
VSG,VSG,,,,,    OLIKA              LIKA  ,8,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,18,18,4,,,,,1,0.730703838304,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
KTM,XTM,,,,,    OLIKA              LIKA  ,4,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,19,19,15,,,,,1,0.690720336795,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,20,20,5,,,,,1,1.45079270692,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
FRQ,MRQ,,,,,    OLIKA              LIKA  ,4,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,21,21,14,,,,,1,0.650303204666,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
SVB,PVB,,,,,    OLIKA              LIKA  ,4,None,None,P,13,None,None,None,,,,,,,,,,,,,,,,,0,22,22,12,,,,,1,1.21082947572,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
HVD,HVD,,,,,    OLIKA              LIKA  ,8,None,None,None,8,None,None,None,,,,,,,,,,,,,,,,,0,23,23,7,,,,,1,0.6505408676,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
QVPSKN,RVPSKN,,,,,    OLIKA              LIKA  ,4,None,None,R,37,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,12,1,1.970894469,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
ZKSWVJ,ZKSWVJ,,,,,    OLIKA              LIKA  ,8,None,None,None,27,None,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,1.79094898714,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
PZBQJM,PZBQJH,,,,,    OLIKA              LIKA  ,4,None,None,None,47,H,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,22,1,2.53097684598,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
MNTWLX,MNTWLX,,,,,    OLIKA              LIKA  ,8,None,None,None,33,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,8,1,2.40092967582,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
DVBWHP,DCBWHP,,,,,    OLIKA              LIKA  ,4,None,C,None,40,None,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,15,1,2.54111488614,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
QGNXBF,QGNXBF,,,,,    OLIKA              LIKA  ,8,None,None,None,29,None,None,None,,,,,,,,,,,,,,,,,,,,,0,5,5,4,1,2.20094898393,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
QJZTBL,QJZCBL,,,,,    OLIKA              LIKA  ,4,None,None,None,44,None,C,None,,,,,,,,,,,,,,,,,,,,,0,6,6,19,1,1.80091030357,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
NMHJKR,WMHJKR,,,,,    OLIKA              LIKA  ,4,None,None,W,38,None,None,None,,,,,,,,,,,,,,,,,,,,,0,7,7,13,1,1.66111221764,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
JRTLNM,JRTLNM,,,,,    OLIKA              LIKA  ,8,None,None,None,30,None,None,None,,,,,,,,,,,,,,,,,,,,,0,8,8,5,1,1.45061213441,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
KWDCXG,KWDCXG,,,,,    OLIKA              LIKA  ,8,None,None,None,34,None,None,None,,,,,,,,,,,,,,,,,,,,,0,9,9,9,1,1.86099444459,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
PBRJNQ,PBRJNQ,,,,,    OLIKA              LIKA  ,8,None,None,None,25,None,None,None,,,,,,,,,,,,,,,,,,,,,0,10,10,0,1,2.71106248803,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
XDPVFN,XDPVFN,,,,,    OLIKA              LIKA  ,8,None,None,None,32,None,None,None,,,,,,,,,,,,,,,,,,,,,0,11,11,7,1,2.11057805335,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
MLVDZG,MLVDZG,,,,,    OLIKA              LIKA  ,8,None,None,None,26,None,None,None,,,,,,,,,,,,,,,,,,,,,0,12,12,1,1,2.67104627179,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
DWQRVK,DPQRVK,,,,,    OLIKA              LIKA  ,4,None,P,None,39,None,None,None,,,,,,,,,,,,,,,,,,,,,0,13,13,14,1,1.30074272073,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
HNDKLM,HNDKLM,,,,,    OLIKA              LIKA  ,8,None,None,None,28,None,None,None,,,,,,,,,,,,,,,,,,,,,0,14,14,3,1,1.20041592617,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
HVNPDS,HVNPMS,,,,,    OLIKA              LIKA  ,4,None,None,None,46,None,None,M,,,,,,,,,,,,,,,,,,,,,0,15,15,21,1,1.45076640684,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
JZVSPX,JZVSPX,,,,,    OLIKA              LIKA  ,8,None,None,None,31,None,None,None,,,,,,,,,,,,,,,,,,,,,0,16,16,6,1,1.67083394674,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
GJHSCJ,GJVSCJ,,,,,    OLIKA              LIKA  ,4,V,None,None,41,None,None,None,,,,,,,,,,,,,,,,,,,,,0,17,17,16,1,1.510917581,2021_jan_27_1309,100.007088696,Control Task #6k,001,NENA_028,
