upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,3.49121919083,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.56052269822,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,1,1.81084038794,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,1,1.96091694779,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,1,2.14088681137,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1,1.04065241698,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,1,1.28061383876,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,1,1.42085949743,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
ZKJ,ZKV,,,,,    OLIKA              LIKA  ,4,V,None,None,22,None,None,None,,,,,,,,,,,,,,,,,0,0,0,21,,,,,1,2.23082555707,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
BLG,BSG,,,,,    OLIKA              LIKA  ,4,None,S,None,19,None,None,None,,,,,,,,,,,,,,,,,0,1,1,18,,,,,1,1.14064465515,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
NLX,NLX,,,,,    OLIKA              LIKA  ,8,None,None,None,9,None,None,None,,,,,,,,,,,,,,,,,0,2,2,8,,,,,1,1.36078069883,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
RBT,RBT,,,,,    OLIKA              LIKA  ,8,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,3,3,1,,,,,1,1.43085076698,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
BGQ,BWQ,,,,,    OLIKA              LIKA  ,4,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,4,4,17,,,,,1,1.32039288965,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
SVB,PVB,,,,,    OLIKA              LIKA  ,4,None,None,P,13,None,None,None,,,,,,,,,,,,,,,,,0,5,5,12,,,,,1,1.71084430093,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,6,6,5,,,,,1,1.64062027916,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
GZK,GZK,,,,,    OLIKA              LIKA  ,8,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,7,7,2,,,,,1,1.11082415866,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
WJP,WJZ,,,,,    OLIKA              LIKA  ,4,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,8,8,22,,,,,1,1.99094688536,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
KTS,KTS,,,,,    OLIKA              LIKA  ,8,None,None,None,11,None,None,None,,,,,,,,,,,,,,,,,0,9,9,10,,,,,1,1.36093112436,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
CBN,CMN,,,,,    OLIKA              LIKA  ,4,None,M,None,20,None,None,None,,,,,,,,,,,,,,,,,0,10,10,19,,,,,1,1.04077942872,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,11,11,0,,,,,1,1.14077711941,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
NRK,NRK,,,,,    OLIKA              LIKA  ,8,None,None,None,10,None,None,None,,,,,,,,,,,,,,,,,0,12,12,9,,,,,1,1.73101286732,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
FRQ,MRQ,,,,,    OLIKA              LIKA  ,4,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,13,13,14,,,,,1,1.02038891252,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
HVD,HVD,,,,,    OLIKA              LIKA  ,8,None,None,None,8,None,None,None,,,,,,,,,,,,,,,,,0,14,14,7,,,,,1,1.10080209839,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
FHP,FHP,,,,,    OLIKA              LIKA  ,8,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,15,15,11,,,,,1,1.69048265103,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
VXL,VXD,,,,,    OLIKA              LIKA  ,4,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,16,16,23,,,,,1,1.55089482337,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
GVN,RVN,,,,,    OLIKA              LIKA  ,4,None,None,R,14,None,None,None,,,,,,,,,,,,,,,,,0,17,17,13,,,,,1,1.08069864155,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
WSV,WSV,,,,,    OLIKA              LIKA  ,8,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,18,18,6,,,,,1,1.1910195643,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
VSG,VSG,,,,,    OLIKA              LIKA  ,8,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,19,19,4,,,,,1,1.51092204751,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
ZLW,ZLW,,,,,    OLIKA              LIKA  ,8,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,20,20,3,,,,,1,2.19096664274,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
TLJ,TXJ,,,,,    OLIKA              LIKA  ,4,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,21,21,16,,,,,1,1.6308140747,2020_sep_14_1433,99.9699239447,Control Task #6k,001,NENA_007,
