upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,4.61137161977,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,4,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,0.930880175711,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,    OLIKA              LIKA  ,8,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0.900702796045,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,None,S,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,1,1.79090566778,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,None,P,None,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,1,1.22081208994,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,1,0.710787816663,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,4,X,None,None,,,,,,,,,,,,,,,,,0,4,4,5,,,,,,,,,1,0.710749328378,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,    OLIKA              LIKA  ,8,None,None,None,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,1,0.519866689418,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
ZLW,ZLW,,,,,    OLIKA              LIKA  ,8,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,0,0,3,,,,,1,1.07071933318,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
NLX,NLX,,,,,    OLIKA              LIKA  ,8,None,None,None,9,None,None,None,,,,,,,,,,,,,,,,,0,1,1,8,,,,,1,0.680530253072,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
RBT,RBT,,,,,    OLIKA              LIKA  ,8,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,2,2,1,,,,,1,0.56053276764,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
ZKJ,ZKV,,,,,    OLIKA              LIKA  ,4,V,None,None,22,None,None,None,,,,,,,,,,,,,,,,,0,3,3,21,,,,,1,0.890681730125,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
FRQ,MRQ,,,,,    OLIKA              LIKA  ,4,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,4,4,14,,,,,1,0.820726389364,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
KTM,XTM,,,,,    OLIKA              LIKA  ,4,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,5,5,15,,,,,1,0.560776526767,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
VSG,VSG,,,,,    OLIKA              LIKA  ,8,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,6,6,4,,,,,1,0.630659381262,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
CBN,CMN,,,,,    OLIKA              LIKA  ,4,None,M,None,20,None,None,None,,,,,,,,,,,,,,,,,0,7,7,19,,,,,1,0.640698408382,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
TLJ,TXJ,,,,,    OLIKA              LIKA  ,4,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,8,8,16,,,,,1,0.529759461062,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
FHP,FHP,,,,,    OLIKA              LIKA  ,8,None,None,None,12,None,None,None,,,,,,,,,,,,,,,,,0,9,9,11,,,,,0,0.509912015785,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
BLG,BSG,,,,,    OLIKA              LIKA  ,4,None,S,None,19,None,None,None,,,,,,,,,,,,,,,,,0,10,10,18,,,,,1,0.710445912417,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
WJP,WJZ,,,,,    OLIKA              LIKA  ,4,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,11,11,22,,,,,1,1.06074252878,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
NRK,NRK,,,,,    OLIKA              LIKA  ,8,None,None,None,10,None,None,None,,,,,,,,,,,,,,,,,0,12,12,9,,,,,1,0.670636519222,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
RBN,RBW,,,,,    OLIKA              LIKA  ,4,W,None,None,21,None,None,None,,,,,,,,,,,,,,,,,0,13,13,20,,,,,0,0.810648553224,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
XTK,XTK,,,,,    OLIKA              LIKA  ,8,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,14,14,5,,,,,1,1.12069155747,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
BGQ,BWQ,,,,,    OLIKA              LIKA  ,4,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,15,15,17,,,,,1,0.820661921489,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
WSV,WSV,,,,,    OLIKA              LIKA  ,8,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,16,16,6,,,,,1,0.67061663361,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
GZK,GZK,,,,,    OLIKA              LIKA  ,8,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,17,17,2,,,,,1,0.610625909285,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
VXL,VXD,,,,,    OLIKA              LIKA  ,4,D,None,None,24,None,None,None,,,,,,,,,,,,,,,,,0,18,18,23,,,,,1,0.590677753002,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
GVN,RVN,,,,,    OLIKA              LIKA  ,4,None,None,R,14,None,None,None,,,,,,,,,,,,,,,,,0,19,19,13,,,,,1,0.900830769586,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
SVB,PVB,,,,,    OLIKA              LIKA  ,4,None,None,P,13,None,None,None,,,,,,,,,,,,,,,,,0,20,20,12,,,,,1,0.540430658226,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
HVD,HVD,,,,,    OLIKA              LIKA  ,8,None,None,None,8,None,None,None,,,,,,,,,,,,,,,,,0,21,21,7,,,,,1,0.620734215314,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
QNB,QNB,,,,,    OLIKA              LIKA  ,8,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,22,22,0,,,,,1,0.760718666048,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
KTS,KTS,,,,,    OLIKA              LIKA  ,8,None,None,None,11,None,None,None,,,,,,,,,,,,,,,,,0,23,23,10,,,,,1,0.630723849135,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
MNTWLX,MNTWLX,,,,,    OLIKA              LIKA  ,8,None,None,None,33,None,None,None,,,,,,,,,,,,,,,,,,,,,0,0,0,8,1,2.21071404745,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
PZBQJM,PZBQJH,,,,,    OLIKA              LIKA  ,4,None,None,None,47,H,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,22,1,1.47086404912,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
QVPSKN,RVPSKN,,,,,    OLIKA              LIKA  ,4,None,None,R,37,None,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,12,1,1.29056697089,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
GJHSCJ,GJVSCJ,,,,,    OLIKA              LIKA  ,4,V,None,None,41,None,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,16,1,1.27082921723,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
HNDKLM,HNDKLM,,,,,    OLIKA              LIKA  ,8,None,None,None,28,None,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,3,1,1.09075986134,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
KWDCXG,KWDCXG,,,,,    OLIKA              LIKA  ,8,None,None,None,34,None,None,None,,,,,,,,,,,,,,,,,,,,,0,5,5,9,1,0.890732727099,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
NKZRGP,NKZRGP,,,,,    OLIKA              LIKA  ,8,None,None,None,36,None,None,None,,,,,,,,,,,,,,,,,,,,,0,6,6,11,1,1.18076118277,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
BKDXWF,BKDXWF,,,,,    OLIKA              LIKA  ,8,None,None,None,35,None,None,None,,,,,,,,,,,,,,,,,,,,,0,7,7,10,1,0.950729866137,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
QJZTBL,QJZCBL,,,,,    OLIKA              LIKA  ,4,None,None,None,44,None,C,None,,,,,,,,,,,,,,,,,,,,,0,8,8,19,1,1.08074168204,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
XDPVFN,XDPVFN,,,,,    OLIKA              LIKA  ,8,None,None,None,32,None,None,None,,,,,,,,,,,,,,,,,,,,,0,9,9,7,1,0.980673429485,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
DWQRVK,DPQRVK,,,,,    OLIKA              LIKA  ,4,None,P,None,39,None,None,None,,,,,,,,,,,,,,,,,,,,,0,10,10,14,1,0.78070851797,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
PXVFWM,PXVFZM,,,,,    OLIKA              LIKA  ,4,None,None,None,45,None,None,Z,,,,,,,,,,,,,,,,,,,,,0,11,11,20,1,1.77089528878,2021_feb_28_1304,99.9750529879,Control Task #6k,001,NENA_030,
