upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8,2.14094053584,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.29082053369,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,None,S,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,1,1.13088909352,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,X,None,None,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,1,1.08084228258,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,1,1.18050516043,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,P,None,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,1,1.05070431299,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,1,0.910668564122,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,1,0.850435282393,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
KTM,XTM,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,0,0,15,,,,,1,1.36075854568,2020_sep_23_1222,99.9875250532,Control Task #6k,001,NENA_011,
