upper,lower,BlockSelect,feed_2,moveon,feed_1,judgment,correct,third,second,first,item_number,sixth,fourth,fifth,practice1.thisRepN,practice1.thisTrialN,practice1.thisN,practice1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,blcok2.thisRepN,blcok2.thisTrialN,blcok2.thisN,blcok2.thisIndex,response,RT,date,frameRate,expName,session,participant,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,8,2.42115629543,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
DLF,ZLF,1,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,8,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,1,1.10052243983,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
FLD,FLD,2,De två bokstavssträngar är lika.,Tryck på någon av knapparna för att fortsätta.,Den första bokstaven i strängen är olika.,     LIKA                 OLIKA,4,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
FDW,FDW,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,1,0.770690641146,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
GWG,GWX,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,X,None,None,,,,,,,,,,,,,,,,,0,1,1,5,,,,,,,,,1,0.680686596719,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
RNL,RPL,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,P,None,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,1,0.700734571763,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
JPB,SPB,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,8,None,None,S,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1,0.66066844972,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
WWT,WWT,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,1,0.670763158578,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
JKY,JKY,1,,Tryck på någon av knapparna för att fortsätta.,,     LIKA                 OLIKA,4,None,None,None,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,1,0.550712008291,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
GZK,GZK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,3,None,None,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,1,1.47042869958,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
WSV,WSV,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,7,None,None,None,,,,,,,,,,,,,,,,,0,1,1,6,,,,,1,1.27075462712,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
NRK,NRK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,10,None,None,None,,,,,,,,,,,,,,,,,0,2,2,9,,,,,1,0.890512147553,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
WJP,WJZ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,Z,None,None,23,None,None,None,,,,,,,,,,,,,,,,,0,3,3,22,,,,,1,0.640778274661,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
TLJ,TXJ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,X,None,17,None,None,None,,,,,,,,,,,,,,,,,0,4,4,16,,,,,1,0.489867925902,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
QNB,QNB,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,1,None,None,None,,,,,,,,,,,,,,,,,0,5,5,0,,,,,1,0.900716546643,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
CBN,CMN,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,M,None,20,None,None,None,,,,,,,,,,,,,,,,,0,6,6,19,,,,,1,0.630479580457,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
XTK,XTK,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,6,None,None,None,,,,,,,,,,,,,,,,,0,7,7,5,,,,,1,1.18081312537,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
RBT,RBT,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,2,None,None,None,,,,,,,,,,,,,,,,,0,8,8,1,,,,,1,0.610646816369,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
KTM,XTM,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,X,16,None,None,None,,,,,,,,,,,,,,,,,0,9,9,15,,,,,0,0.509682408283,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
BLG,BSG,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,S,None,19,None,None,None,,,,,,,,,,,,,,,,,0,10,10,18,,,,,1,1.04081503051,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
VSG,VSG,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,5,None,None,None,,,,,,,,,,,,,,,,,0,11,11,4,,,,,1,1.09069522119,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
GVN,RVN,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,R,14,None,None,None,,,,,,,,,,,,,,,,,0,12,12,13,,,,,1,0.690769759236,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
ZLW,ZLW,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,4,None,None,None,4,None,None,None,,,,,,,,,,,,,,,,,0,13,13,3,,,,,1,1.28082752622,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
RBN,RBW,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,W,None,None,21,None,None,None,,,,,,,,,,,,,,,,,0,14,14,20,,,,,1,0.950715728777,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
FRQ,MRQ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,M,15,None,None,None,,,,,,,,,,,,,,,,,0,15,15,14,,,,,1,0.710616635519,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
BGQ,BWQ,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,W,None,18,None,None,None,,,,,,,,,,,,,,,,,0,16,16,17,,,,,1,0.700496909589,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
SVB,PVB,,,Pulse el botón para continuar.,,     LIKA                 OLIKA,8,None,None,P,13,None,None,None,,,,,,,,,,,,,,,,,0,17,17,12,,,,,1,0.630728147509,2020_okt_02_1531,99.9477800921,Control Task #6k,001,NENA_013,
