digit1,digit2,feed_C,feed_I,digit3,digit4,digit5,digit6,digit7,digit8,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice2.thisRepN,practice2.thisTrialN,practice2.thisN,practice2.thisIndex,two_digits.thisRepN,two_digits.thisTrialN,two_digits.thisN,two_digits.thisIndex,three_digits.thisRepN,three_digits.thisTrialN,three_digits.thisN,three_digits.thisIndex,four_digitss.thisRepN,four_digitss.thisTrialN,four_digitss.thisN,four_digitss.thisIndex,five_digits.thisRepN,five_digits.thisTrialN,five_digits.thisN,five_digits.thisIndex,six_digits.thisRepN,six_digits.thisTrialN,six_digits.thisN,six_digits.thisIndex,seven_digits.thisRepN,seven_digits.thisTrialN,seven_digits.thisN,seven_digits.thisIndex,eight_digits.thisRepN,eight_digits.thisTrialN,eight_digits.thisN,eight_digits.thisIndex,grating.started,grating.stopped,text.started,text.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,grating_13.started,grating_13.stopped,text_14.started,text_14.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,grating_22.started,grating_22.stopped,text_26.started,text_26.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,grating_20.started,grating_20.stopped,text_21.started,text_21.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,ISI_11.started,ISI_11.stopped,grating_21.started,grating_21.stopped,text_25.started,text_25.stopped,ISI_2.started,ISI_2.stopped,grating_3.started,grating_3.stopped,text_3.started,text_3.stopped,ISI.started,ISI.stopped,grating_2.started,grating_2.stopped,text_2.started,text_2.stopped,ISI_3.started,ISI_3.stopped,grating_4.started,grating_4.stopped,text_4.started,text_4.stopped,grating_11.started,grating_11.stopped,response,print_response.started,print_response.stopped,text_11.started,text_11.stopped,text_13.started,text_13.stopped,grating_14.started,grating_14.stopped,text_15.started,text_15.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_16.started,text_16.stopped,grating_15.started,grating_15.stopped,text_17.started,text_17.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating_16.started,grating_16.stopped,print_response_2.started,print_response_2.stopped,text_18.started,text_18.stopped,text_19.started,text_19.stopped,grating_19.started,grating_19.stopped,text_23.started,text_23.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_24.started,text_24.stopped,grating_18.started,grating_18.stopped,text_22.started,text_22.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,grating_12.started,grating_12.stopped,text_12.started,text_12.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI_4.started,ISI_4.stopped,grating_5.started,grating_5.stopped,text_5.started,text_5.stopped,ISI_5.started,ISI_5.stopped,grating_6.started,grating_6.stopped,text_6.started,text_6.stopped,ISI_6.started,ISI_6.stopped,grating_7.started,grating_7.stopped,text_7.started,text_7.stopped,ISI_7.started,ISI_7.stopped,grating_8.started,grating_8.stopped,text_8.started,text_8.stopped,ISI_8.started,ISI_8.stopped,grating_9.started,grating_9.stopped,text_9.started,text_9.stopped,ISI_9.started,ISI_9.stopped,grating_10.started,grating_10.stopped,text_10.started,text_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
4,6,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005758627468821942,None,195.8456650248354,None,195.8456650248354,196.34506830163446,0.001112814201405854,None,196.85568439388408,None,196.85568439388408,None,0.008452461481283535,None,199.85615971975676,None,199.85615971975676,None,0.008313135191201582,None,198.86603187249239,None,198.86603187249239,None,200.8663378514957,None,64,200.8663378514957,None,200.8663378514957,None,200.8663378514957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.06666108591708,None,203.06666108591708,None,space,2.9461746370343462,203.06666108591708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
5,7,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051774598032352515,None,206.02802498251185,None,206.02802498251185,206.52682848914628,0.004603219964337768,None,207.0474713272979,None,207.0474713272979,None,0.008441556567049702,None,210.0379285670533,None,210.0379285670533,None,0.003121563147942652,None,209.0477538928135,None,209.0477538928135,None,211.04810830245515,None,75,211.04810830245515,None,211.04810830245515,None,211.04810830245515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.40852398487368,None,213.40852398487368,None,space,2.1319433419266716,213.40852398487368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
6,2,,,9,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008455412218609126,None,215.57889591614185,None,215.57889591614185,216.07846597394746,0.00039469367038691416,None,216.57909156309506,None,216.57909156309506,None,0.007604764934512787,None,221.56991315520463,None,221.56991315520463,None,0.00045146335651224945,None,218.57947387648164,None,218.57947387648164,None,222.58009994672648,None,926,222.58009994672648,None,222.58009994672648,None,222.58009994672648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.61096565882872,None,227.61096565882872,None,space,1.3453338683157199,227.61096565882872,None,0.002691460587811889,None,220.57974842367912,None,220.57974842367912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
4,7,,,5,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004386532946227817,None,228.98121468532372,None,228.98121468532372,229.48079885536936,0.0011962047028646339,None,229.9914367574438,None,229.9914367574438,None,0.008434500445218873,None,234.9822516141685,None,234.9822516141685,None,0.0015628021883458132,None,231.99178924268926,None,231.99178924268926,None,235.9924258971132,None,574,235.9924258971132,None,235.9924258971132,None,235.9924258971132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.2930037612332,None,239.2930037612332,None,space,0.8148772507811373,239.2930037612332,None,0.0013068574899079977,None,233.99211029612889,None,233.99211029612889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
8,2,,,7,9,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009209454814481433,None,240.14286942233775,None,240.14286942233775,240.64272589445136,0.00642369881097693,None,241.1434185167327,None,241.1434185167327,None,0.007628819885212579,None,246.13417211351043,None,246.13417211351043,None,0.0023736144739814335,None,243.14367285777007,None,243.14367285777007,None,248.1445699471533,None,9728,248.1445699471533,None,248.1445699471533,None,248.1445699471533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.8360818522706,None,256.8360818522706,None,space,1.7112456264076172,256.8360818522706,None,0.0015284837900253478,None,245.14404490771085,None,245.14404490771085,None,0.003177370639605215,None,247.14431656831403,None,247.14431656831403,None,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
4,9,,,6,8,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004513543097345973,None,258.567221245592,None,258.567221245592,259.06592757021645,0.0009688052159617655,None,259.5765516807842,None,259.5765516807842,None,0.008412049155595014,None,264.577386227289,None,264.577386227289,None,0.0014171895418257918,None,261.58686067146664,None,261.58686067146664,None,266.58774012055073,None,8694,266.58774012055073,None,266.58774012055073,None,266.58774012055073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.47873590259405,None,273.47873590259405,None,space,2.3882235288874654,273.47873590259405,None,0.0031343924565589987,None,263.5872035347311,None,263.5872035347311,None,0.0014104541533015436,None,265.5875880932472,None,265.5875880932472,None,,,,,,,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
6,5,,,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00852821854641661,None,275.8990416827437,None,275.8990416827437,276.39893247325745,0.0004389547830214724,None,276.89956543925473,None,276.89956543925473,None,0.00760701006220188,None,285.89109649211423,None,285.89109649211423,None,0.0005739832522522192,None,278.8999143964411,None,278.8999143964411,None,286.9013044519943,None,34856,286.9013044519943,None,286.9013044519943,None,286.9013044519943,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.1631823868993,None,298.1631823868993,None,space,1.4471645785361034,298.1631823868993,None,0.0014669031115772668,None,280.9002316010883,None,280.9002316010883,None,0.0030285506618383806,None,282.90055297526123,None,282.90055297526123,None,0.0009396185396326473,None,284.90095036308594,None,284.90095036308594,None,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
1,5,,,8,4,6,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004530221198365325,None,299.62378117562,None,299.62378117562,300.12305038614613,0.0007741204626654508,None,300.63367032719,None,300.63367032719,None,0.008039999216634897,None,309.6351861099647,None,309.6351861099647,None,0.0026366152942500776,None,302.64399086424964,None,302.64399086424964,None,310.645346922136,None,64851,310.645346922136,None,310.645346922136,None,310.645346922136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.9967189044037,None,319.9967189044037,None,space,2.7329768710023927,319.9967189044037,None,0.0014319432448246516,None,304.644352009278,None,304.644352009278,None,0.0028479781503847335,None,306.6446589504794,None,306.6446589504794,None,0.0031863511558185564,None,308.6450069454677,None,308.6450069454677,None,,,,,,,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
5,3,,,7,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006284051791226375,None,322.7674585236491,None,322.7674585236491,323.26705937179395,0.0004979696004738798,None,323.7676714901663,None,323.7676714901663,None,0.007616952776515973,None,334.75953418064455,None,334.75953418064455,None,0.001397945577991777,None,325.7679675264553,None,325.7679675264553,None,335.76975625276464,None,814765,335.76975625276464,None,335.76975625276464,None,335.76975625276464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.86640103583886,None,375.86640103583886,None,space,3.053881491188804,375.86640103583886,None,0.001471393368774443,None,327.7683719703982,None,327.7683719703982,None,0.0011339825596223818,None,329.7687183617236,None,329.7687183617236,None,0.0014755628926650388,None,331.76908816653486,None,331.76908816653486,None,0.0015220691366266692,None,333.7694156346297,None,333.7694156346297,None,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
7,2,,,4,8,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004472810045626829,None,378.9380161591562,None,378.9380161591562,379.43678502665716,0.0010121041304955725,None,379.9474078542953,None,379.9474078542953,None,0.008411728424107423,None,390.94924693563917,None,390.94924693563917,None,0.0011378313538443763,None,381.9577611060922,None,381.9577611060922,None,391.95947029069066,None,658427,391.95947029069066,None,391.95947029069066,None,391.95947029069066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.7822564893049,None,409.7822564893049,None,space,4.697263925492734,409.7822564893049,None,0.0014425274239329156,None,383.95810076202906,None,383.95810076202906,None,0.001462092119254521,None,385.9584394557678,None,385.9584394557678,None,0.0031170728889264865,None,387.9587342091254,None,387.9587342091254,None,0.0014954483212932246,None,389.9591444262587,None,389.9591444262587,None,,,,,,,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
8,1,,,4,9,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005465221187478164,None,414.5135677953567,None,414.5135677953567,415.01295535625286,0.00042388034489704296,None,415.513555928248,None,415.513555928248,None,0.0075807099801750155,None,428.5057800844879,None,428.5057800844879,None,0.0023271082318387926,None,417.5138628694476,None,417.5138628694476,None,429.5160056846671,None,2639418,429.5160056846671,None,429.5160056846671,None,429.5160056846671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.3000092050297,None,454.3000092050297,None,space,2.2744487326399394,454.3000092050297,None,0.0014473384162556613,None,419.51426410606473,None,419.51426410606473,None,0.0014768458258913597,None,421.514619157173,None,421.514619157173,None,0.0006063772561901715,None,423.51496907655564,None,423.51496907655564,None,0.0027386082929297118,None,425.51525517013215,None,425.51525517013215,None,0.0015066739651956595,None,427.51566891532457,None,427.51566891532457,None,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
4,7,,,3,9,6,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004517071160080377,None,456.60064351810433,None,456.60064351810433,457.1002475735768,0.0013661930406669853,None,457.61082293277286,None,457.61082293277286,None,0.008416218683123589,None,470.6030698610357,None,470.6030698610357,None,0.003093659401201876,None,459.6111690033649,None,459.6111690033649,None,471.6136177975859,None,8829374,471.6136177975859,None,471.6136177975859,None,471.6136177975859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.9258892554863,None,544.9258892554863,None,space,1.9742791612570727,544.9258892554863,None,0.002847978148565744,None,461.61151090443127,None,461.61151090443127,None,0.0014486213476629928,None,463.61187204945963,None,463.61187204945963,None,0.001422321263817139,None,465.6122238932403,None,465.6122238932403,None,0.0031414485747518484,None,467.6125542479276,None,467.6125542479276,None,0.0015053910356073175,None,469.61294939062464,None,469.61294939062464,None,,,,,,,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
9,4,,,3,7,6,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006378026473612408,None,546.9359188879807,None,546.9359188879807,547.435911671495,0.00032317027398676146,None,547.9365157715492,None,547.9365157715492,None,0.007006277701293584,None,562.929052642181,None,562.929052642181,None,0.0018190676219091984,None,549.9368111663734,None,549.9368111663734,None,563.9392089640951,None,8127374,563.9392089640951,None,563.9392089640951,None,563.9392089640951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.4818421988675,None,580.4818421988675,None,space,4.657364135218813,580.4818421988675,None,0.002942915030871518,None,551.9371697455408,None,551.9371697455408,None,0.001464657982069184,None,553.937555266255,None,553.937555266255,None,0.0031231668126565637,None,555.9378644525841,None,555.9378644525841,None,0.003110978968834388,None,557.9381877511532,None,557.9381877511532,None,0.002773568159682327,None,559.9385607632921,None,559.9385607632921,None,0.0031513912908849306,None,561.9388914387146,None,561.9388914387146,None,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
7,2,,,8,1,5,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004636062991266954,None,585.1538766481244,None,585.1538766481244,585.652464943114,0.009960739109374117,None,586.1631265794076,None,586.1631265794076,None,0.008407879631704418,None,601.1656837812843,None,601.1656837812843,None,0.0027033276983274845,None,588.1734314005662,None,588.1734314005662,None,602.1759000802158,None,34651827,602.1759000802158,None,602.1759000802158,None,602.1759000802158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.2686136424945,None,619.2686136424945,None,space,1.5498028937145136,619.2686136424945,None,0.0014024358370079426,None,590.1738137139528,None,590.1738137139528,None,0.001462092119254521,None,592.174188009023,None,592.174188009023,None,0.003094621599302627,None,594.1744978368188,None,594.1744978368188,None,0.0014646579802501947,None,596.1748775843444,None,596.1748775843444,None,0.003138241250780993,None,598.1751713755039,None,598.1751713755039,None,0.0028537513353512622,None,600.1754917874787,None,600.1754917874787,None,NENA_030,001,2021_Feb_27_1314,Backward Digit Span2,3.2.4,99.99105235833757,
